Date,SBIN,HDFC ,ICICI,Kotak,Axis
01-01-2019,299.6,1074.05,363.75,1250.45,627.3
02-01-2019,293.9,1064.25,364.6,1240.6,620.05
03-01-2019,291.1,1055.9,363.25,1235.25,607.95
04-01-2019,297.65,1058.72,365.2,1247.95,619.6
07-01-2019,296.3,1060.33,367.7,1246.6,637.45
08-01-2019,305.3,1051.5,380.15,1228.9,650.9
09-01-2019,305.3,1058.4,382.25,1238.25,670.1
10-01-2019,305.55,1054.25,379.5,1219.55,663.25
11-01-2019,302.75,1055.95,378.55,1223.2,666.5
14-01-2019,300.4,1050.83,373.35,1211.75,659.2
15-01-2019,301.65,1060.95,372.75,1213.4,660.6
16-01-2019,303.15,1060.1,375.3,1202.75,664
17-01-2019,297.4,1066.15,374.6,1219.95,676.65
18-01-2019,294.95,1065.13,372,1240.2,664.6
21-01-2019,292.45,1074.08,371.7,1267.6,660.3
22-01-2019,290.25,1067.93,369.05,1291.75,661.6
23-01-2019,286.65,1052.7,367.4,1276.5,661.6
24-01-2019,288.05,1051.13,364.8,1267.75,663.65
25-01-2019,285.4,1048,357.2,1266.15,669.75
28-01-2019,281.6,1042.08,343.55,1260.45,656.3
29-01-2019,280.6,1028.8,346.85,1251.4,660.75
30-01-2019,287.45,1017.35,365.9,1222.2,690.95
31-01-2019,293.65,1039.97,364.45,1255.75,722.7
01-02-2019,284.4,1045.22,354.65,1255.7,717.25
04-02-2019,283.95,1052.45,354.55,1272.2,720.5
05-02-2019,284.65,1057.03,352.65,1279.15,729.5
06-02-2019,289.05,1061.33,359.3,1279.5,725.75
07-02-2019,287.4,1058.63,358.65,1284.55,730.15
08-02-2019,286,1061.33,355.1,1299.4,719.4
11-02-2019,280.5,1069.83,350.05,1301.55,710.85
12-02-2019,275.4,1064.85,344.3,1298.65,705.6
13-02-2019,268.2,1071.72,339.75,1298.3,697.5
14-02-2019,267.1,1055.1,343.95,1286.8,695
15-02-2019,262.95,1050.33,342.15,1283.65,686.6
18-02-2019,259.95,1044.95,342.15,1280.45,693.3
19-02-2019,262.9,1042.03,343.25,1289.75,693.05
20-02-2019,267.7,1054.18,345.2,1289.15,700.35
21-02-2019,268,1057.95,351.3,1237.9,697.2
22-02-2019,270.95,1045.72,352.05,1240.95,702.05
25-02-2019,270.15,1062.7,355.6,1236.15,703.7
26-02-2019,266.35,1055.33,348.2,1216.15,710.15
27-02-2019,267.65,1046.13,345.55,1213.1,718.2
28-02-2019,269.05,1038.78,350.15,1225.95,709.55
01-03-2019,272.95,1041.68,354.25,1240.45,702.4
05-03-2019,276.45,1053.55,363.25,1241.3,732.05
06-03-2019,278.1,1052.13,371.95,1237.2,720.6
07-03-2019,281.75,1063.25,370.8,1238.9,733.75
08-03-2019,281.2,1064.1,370.6,1249.55,733.4
11-03-2019,287.35,1064.22,375.85,1263.35,734.5
12-03-2019,286.9,1085.5,388.2,1261.25,742.55
13-03-2019,293.15,1113.28,391.9,1268.95,738
14-03-2019,291.9,1112.38,387.9,1325.15,740.6
15-03-2019,298.4,1126.5,395.3,1343.65,735.1
18-03-2019,298.95,1130.72,398.05,1347.75,751.6
19-03-2019,303.05,1133.88,398.4,1351.6,760.9
20-03-2019,303.8,1149.5,392.9,1336.25,755.75
22-03-2019,298.05,1138.08,391.8,1308.65,757.05
25-03-2019,294,1140.65,383.5,1342.95,745.7
26-03-2019,303.5,1155.68,394.1,1332.85,757.1
27-03-2019,308.8,1149.72,393.2,1340.75,759.3
28-03-2019,319,1151.4,400.55,1334.5,780.7
29-03-2019,320.75,1159.45,400.5,1339.4,777.25
01-04-2019,322.75,1155.9,398.25,1339.45,765.6
02-04-2019,329,1147.43,397.15,1334.2,767.4
03-04-2019,320.5,1146.38,392.1,1322.9,761.5
04-04-2019,321.8,1141.97,388.75,1335.95,762.15
